Designator,Mid X,Mid Y,Layer,Rotation
D1,26.82,32.78,T,90.00
D1,68.82,10.78,T,90.00
D1,68.82,32.78,T,90.00
D1,26.82,54.78,T,90.00
D1,68.82,43.78,T,90.00
D1,26.82,43.78,T,90.00
D1,68.82,21.78,T,90.00
D1,68.82,54.78,T,90.00
D1,26.82,10.78,T,90.00
D1,26.82,21.78,T,90.00
F1,24.62,22.68,T,90.00
F1,24.62,55.68,T,90.00
F1,66.62,22.68,T,90.00
F1,66.62,11.68,T,90.00
F1,66.62,55.68,T,90.00
F1,66.62,44.68,T,90.00
F1,24.62,11.68,T,90.00
F1,24.62,44.68,T,90.00
F1,24.62,33.68,T,90.00
F1,66.62,33.68,T,90.00
FB1,30.22,15.98,T,270.00
FB1,72.22,48.98,T,270.00
FB1,30.22,26.98,T,270.00
FB1,72.22,15.98,T,270.00
FB1,72.22,59.98,T,270.00
FB1,30.22,48.98,T,270.00
FB1,72.22,26.98,T,270.00
FB1,30.22,59.98,T,270.00
FB1,72.22,37.98,T,270.00
FB1,30.22,37.98,T,270.00
J1,36.60,30.30,T,180.00
J1,36.60,52.30,T,180.00
J1,78.60,41.30,T,180.00
J1,36.60,19.30,T,180.00
J1,36.60,41.30,T,180.00
J1,78.60,52.30,T,180.00
J1,78.60,30.30,T,180.00
J1,78.60,63.30,T,180.00
J1,78.60,19.30,T,180.00
J1,36.60,63.30,T,180.00
J2,19.50,23.00,T,0.00
J2,61.50,23.00,T,0.00
J2,61.50,34.00,T,0.00
J2,61.50,12.00,T,0.00
J2,19.50,56.00,T,0.00
J2,19.50,12.00,T,0.00
J2,61.50,56.00,T,0.00
J2,61.50,45.00,T,0.00
J2,19.50,34.00,T,0.00
J2,19.50,45.00,T,0.00
R1,71.52,11.18,T,90.00
R1,71.52,55.18,T,90.00
R1,29.52,44.18,T,90.00
R1,29.52,33.18,T,90.00
R1,71.52,44.18,T,90.00
R1,29.52,55.18,T,90.00
R1,29.52,22.18,T,90.00
R1,71.52,33.18,T,90.00
R1,29.52,11.18,T,90.00
R1,71.52,22.18,T,90.00
R2,28.32,11.18,T,270.00
R2,28.32,55.18,T,270.00
R2,70.32,11.18,T,270.00
R2,28.32,33.18,T,270.00
R2,70.32,33.18,T,270.00
R2,70.32,55.18,T,270.00
R2,70.32,44.18,T,270.00
R2,28.32,22.18,T,270.00
R2,70.32,22.18,T,270.00
R2,28.32,44.18,T,270.00
U1,66.92,15.68,T,0.00
U1,24.92,26.68,T,0.00
U1,24.92,15.68,T,0.00
U1,24.92,59.68,T,0.00
U1,66.92,59.68,T,0.00
U1,66.92,48.68,T,0.00
U1,24.92,37.68,T,0.00
U1,66.92,37.68,T,0.00
U1,24.92,48.68,T,0.00
U1,66.92,26.68,T,0.00
